repo_name,refactors
WhareHauora/wharehauora-server,46
WikiEducationFoundation/WikiEduDashboard,297
WoWAnalyzer/WoWAnalyzer,712
XavCC/xavcc.github.io,23
Yubico/yubikey-manager,140
Yubico/yubikey-manager-qt,142
YunoHost/yunohost,75
ZencashOfficial/arizen,37
ZeroK-RTS/Zero-K,92
ZeroK-RTS/Zero-K-Infrastructure,27
Zhong-Lab-UCSD/Genomic-Interactive-Visualization-Engine,39
ZhonganTechENG/zarm,114
acidrainstudios/TrueReality,145
acorg/acmacs-map-draw,25
adamcharnock/lightbus,97
adamtheturtle/vws-python,110
adrian-lang/adrian,78
advancedresearch/path_semantics,4
africanmathsinitiative/R-Instat,78
airbornemihir/turbo-octo-sniffle,100
airslie/renalware-core,92
akrherz/iem,49
akvo/akvo-rsr,108
alchemy-fr/Phraseanet,42
aleju/imgaug,175
alibaba/canal,24
allthings/elements,16
alpha-unito/PiCo,85
alphagov/finder-frontend,26
alphagov/notifications-admin,208
alphagov/rummager,37
alphagov/smart-answers,31
altair-viz/altair,78
amient/affinity,80
ampproject/amphtml,625
anaseto/boohu,129
anchore/anchore-engine,95
angular/angular-devkit-core-builds,99
angular/compiler-builds,186
angular/compiler-cli-builds,187
angular/core-builds,186
angular/forms-builds,186
angular/http-builds,186
angular/platform-browser-builds,186
angular/platform-browser-dynamic-builds,185
angular/platform-server-builds,186
angular/platform-webworker-builds,186
angular/platform-webworker-dynamic-builds,186
angular/router-builds,186
angular/schematics-schematics-builds,88
angular/schematics-update-builds,88
angular/upgrade-builds,186
anlaneg/dpdk,913
ant-design/ant-design,141
antest1/kcanotify,29
antihax/evedata,68
apache/jackrabbit-oak,136
apache/spark,523
apereo/cas,375
apigee/apigee-edge-drupal,186
apmechev/GRID_LRT,52
apollographql/apollo-client,92
apple/swift,2631
apple/swift-package-manager,87
apurtell/hbase,150
architecture-building-systems/CityEnergyAnalyst,262
arescentral/antares,162
arianne/stendhal,222
aspnetboilerplate/aspnetboilerplate,104
atom/github,313
audiokit/AudioKit,169
autoserver-org/autoserver,245
avocado-framework/avocado-vt,96
aws/aws-sdk-php,11
awsdocs/aws-doc-sdk-examples,35
axkr/symja_android_library,257
azdanov/azdanov.github.io,119
baomidou/mybatis-plus,9
bazelbuild/bazel,1304
bazelbuild/rules_apple,95
bazurbat/jagen,131
bbfrederick/rapidtide,127
bcgov/hets,177
bcvsolutions/CzechIdMng,68
bdezonia/zorbage,225
be-lb/sdi-clients,25
beautify-web/js-beautify,53
beeldengeluid/labo-components,49
belathus/Wanderlust-Renewed,28
benkuper/Chataigne,34
benwbrum/fromthepage,26
berkmancenter/mediacloud,185
betaflight/betaflight-configurator,36
bgd-point/point-app-test,14
binary-com/binary-static,611
bioconda/bioconda-recipes,195
biothings/biothings.api,78
bitpay/copay,225
bitsoko-services/bits,3
bitwarden/web,22
bjadamson/BoomHS,258
bkimminich/juice-shop,151
blakearchive/archive,1
blevesearch/bleve,192
blinksh/blink,115
blynkkk/blynk-server,190
bobintetley/asm3,68
bokeh/bokeh,107
brainstorm-tools/brainstorm3,62
briannesbitt/Carbon,56
brltty/brltty,169
brython-dev/brython,110
bstarynk/bismon,127
btccom/btcpool,96
btcpayserver/btcpayserver,124
buddhi1980/mandelbulber2,87
buffer/thug,164
buildaworldnet/IrrlichtBAW,58
buzsakilab/buzcode,21
bvcms/bvcms,63
cBioPortal/cbioportal,72
cBioPortal/cbioportal-frontend,169
cacheflowe/haxademic,108
cadpage/cadpage-parsers,13
camdram/camdram,79
camsys/transam_core,101
camsys/transam_transit,161
cars10/elasticvue,68
carsenk/denarius,33
ccomeaux/boardgamegeek4android,148
cdrobey/puppet-repo,74
cds-snc/digital-canada-ca,17
centreon/centreon,121
chocolate-doom/chocolate-doom,266
chrislusf/seaweedfs,72
cilium/cilium,709
cinava/order-lab,32
cirosantilli/linux-kernel-module-cheat,85
cisco-system-traffic-generator/trex-core,45
cismet/wupp-geoportal3-powerboats,26
cityofasheville/simplicity2,63
clappr/clappr-ios,205
cleanflight/cleanflight-configurator,36
cloudera/Impala,117
cloudfoundry/cli,262
cloudmesh/book,90
cnrv/home,12
codebar/planner,52
codeenigma/deployments,57
codeontap/gen3,75
commsy/commsy,40
compas-dev/compas,68
compbiomed/celda,95
compsocialscience/summer-institute,21
conan-io/conan,168
concord-consortium/rigse,117
conda-forge/conda-smithy,34
consul/consul,386
coq/opam-coq-archive,10
coreboot/coreboot,739
couchbase/ns_server,314
craws/OpenAtlas,60
create3000/x_ite,33
crowdAI/crowdai,67
cucumber/cucumber,90
cutec-chris/promet-erp,12
cwi-dis/igor,51
cylc/cylc,97
cynicaloptimist/improved-initiative,223
d12frosted/environment,91
d3fc/d3fc,9
dafer45/TBTK,106
dan-cristian/haiot,62
danger/danger-js,59
danliris/dl-module,7
danmar/cppcheck,477
darglein/saiga,60
dart-lang/angular_components,126
data2viz/data2viz,197
databrary/databrary,247
datawire/ambassador,153
datosgobar/portal-andino,2
davidkpiano/xstate,78
davidmerfield/Blot,208
deanoemcke/thegreatsuspender,136
debops/debops,86
decaf-emu/decaf-emu,103
deep-cover/deep-cover,85
deeponion/deeponion,32
demisto/content,158
denispelli/NoiseDiscrimination,65
department-of-veterans-affairs/vets-website,346
devinschulz/blog,30
devtools-html/debugger.html,164
