hit_rate_q1,hit_rate_q2,files
0.34,0.56,1
0.35,0,2
0.35,0.02,1
0.35,0.08,3
0.35,0.09,1
0.35,0.13,1
0.35,0.14,3
0.35,0.15,2
0.35,0.16,1
0.35,0.17,3
0.35,0.18,4
0.35,0.19,6
0.35,0.2,1
0.35,0.21,2
0.35,0.22,1
0.35,0.23,1
0.35,0.25,4
0.35,0.26,1
0.35,0.28,2
0.35,0.29,2
0.35,0.3,2
0.35,0.31,1
0.35,0.32,1
0.35,0.33,4
0.35,0.35,2
0.35,0.36,1
0.35,0.37,2
0.35,0.38,1
0.35,0.41,2
0.35,0.42,2
0.35,0.46,1
0.35,0.47,1
0.35,0.5,2
0.35,0.53,1
0.35,0.55,1
0.35,0.57,1
0.35,0.6,2
0.35,0.75,1
0.35,0.82,1
0.36,0,10
0.36,0.05,2
0.36,0.06,2
0.36,0.07,1
0.36,0.08,5
0.36,0.09,7
0.36,0.1,4
0.36,0.13,6
0.36,0.14,4
0.36,0.15,2
0.36,0.16,3
0.36,0.17,12
0.36,0.18,2
0.36,0.19,1
0.36,0.2,5
0.36,0.21,3
0.36,0.22,2
0.36,0.23,5
0.36,0.24,2
0.36,0.25,1
0.36,0.27,1
0.36,0.28,2
0.36,0.29,2
0.36,0.3,2
0.36,0.31,4
0.36,0.32,2
0.36,0.33,3
0.36,0.34,1
0.36,0.36,1
0.36,0.38,1
0.36,0.39,1
0.36,0.4,3
0.36,0.41,1
0.36,0.42,2
0.36,0.44,3
0.36,0.46,2
0.36,0.47,3
0.36,0.5,4
0.36,0.56,1
0.36,0.57,1
0.36,0.58,1
0.36,0.63,1
0.36,0.67,1
0.36,0.7,1
0.37,0.08,1
0.37,0.09,2
0.37,0.1,2
0.37,0.12,1
0.37,0.14,3
0.37,0.15,1
0.37,0.17,2
0.37,0.2,1
0.37,0.21,1
0.37,0.22,1
0.37,0.23,1
0.37,0.25,4
0.37,0.27,2
0.37,0.3,1
0.37,0.31,1
0.37,0.33,1
0.37,0.36,1
0.37,0.37,1
0.37,0.38,1
0.37,0.39,1
0.37,0.41,1
0.37,0.52,1
0.37,0.53,1
0.37,0.76,1
0.38,0,5
0.38,0.03,1
0.38,0.04,1
0.38,0.06,2
0.38,0.07,3
0.38,0.08,4
0.38,0.1,3
0.38,0.11,1
0.38,0.13,2
0.38,0.14,1
0.38,0.15,1
0.38,0.16,1
0.38,0.17,4
0.38,0.18,4
0.38,0.19,2
0.38,0.2,6
0.38,0.21,1
0.38,0.22,2
0.38,0.23,2
0.38,0.24,3
0.38,0.25,3
0.38,0.26,1
0.38,0.27,6
0.38,0.28,1
0.38,0.29,2
0.38,0.3,3
0.38,0.31,2
0.38,0.32,1
0.38,0.33,4
0.38,0.35,1
0.38,0.36,3
0.38,0.37,1
0.38,0.4,2
0.38,0.41,1
0.38,0.42,2
0.38,0.45,1
0.38,0.46,1
0.38,0.47,1
0.38,0.5,3
0.38,0.51,1
0.38,0.53,2
0.38,0.55,2
0.38,0.57,1
0.38,0.62,1
0.38,0.64,1
0.39,0,1
0.39,0.07,1
0.39,0.09,1
0.39,0.14,1
0.39,0.15,4
0.39,0.17,2
0.39,0.18,3
0.39,0.19,1
0.39,0.2,3
0.39,0.21,1
0.39,0.23,3
0.39,0.24,1
0.39,0.25,3
0.39,0.27,2
0.39,0.31,2
0.39,0.33,2
0.39,0.35,2
0.39,0.36,1
0.39,0.39,1
0.39,0.4,2
0.39,0.41,1
0.39,0.43,4
0.39,0.53,1
0.4,0,11
0.4,0.04,1
0.4,0.07,2
0.4,0.08,2
0.4,0.1,2
0.4,0.13,1
0.4,0.14,4
0.4,0.15,2
0.4,0.17,2
0.4,0.18,4
0.4,0.19,1
0.4,0.2,2
0.4,0.21,1
0.4,0.22,1
0.4,0.23,3
0.4,0.24,1
0.4,0.25,3
0.4,0.26,1
0.4,0.27,4
0.4,0.28,1
0.4,0.29,3
0.4,0.3,2
0.4,0.31,1
0.4,0.32,1
0.4,0.33,4
0.4,0.35,1
0.4,0.36,6
0.4,0.38,2
0.4,0.4,1
0.4,0.42,4
0.4,0.47,1
0.4,0.5,3
0.4,0.53,1
0.4,0.54,1
0.4,0.55,2
0.4,0.6,1
0.4,0.63,1
0.41,0.1,2
0.41,0.13,2
0.41,0.14,4
0.41,0.15,2
0.41,0.18,1
0.41,0.2,4
0.41,0.23,1
0.41,0.24,1
0.41,0.25,1
0.41,0.26,2
0.41,0.28,2
0.41,0.3,3
0.41,0.33,1
0.41,0.34,1
0.41,0.38,2
0.41,0.41,1
0.41,0.43,1
0.41,0.48,2
0.41,0.5,2
0.41,0.54,1
0.41,0.7,1
0.42,0,2
0.42,0.04,1
0.42,0.06,1
0.42,0.08,2
0.42,0.09,1
0.42,0.1,2
0.42,0.15,4
0.42,0.16,1
0.42,0.18,6
0.42,0.19,2
0.42,0.2,1
0.42,0.21,1
0.42,0.23,2
0.42,0.24,1
0.42,0.25,2
0.42,0.26,1
0.42,0.29,3
0.42,0.3,2
0.42,0.31,2
0.42,0.33,2
0.42,0.35,1
0.42,0.36,2
0.42,0.37,1
0.42,0.38,2
0.42,0.4,2
0.42,0.42,1
0.42,0.49,1
0.42,0.5,1
0.42,0.55,1
0.42,0.62,2
0.42,0.75,1
0.43,0.06,1
0.43,0.1,1
0.43,0.11,1
0.43,0.12,1
0.43,0.18,1
0.43,0.19,1
0.43,0.2,3
0.43,0.23,1
0.43,0.25,2
0.43,0.26,1
0.43,0.27,1
0.43,0.29,1
0.43,0.3,2
0.43,0.32,1
0.43,0.35,3
0.43,0.37,1
0.43,0.38,1
0.43,0.41,1
0.43,0.45,1
0.43,0.46,1
0.43,0.47,1
0.43,0.5,1
0.43,0.52,1
0.43,0.78,1
0.44,0.07,1
0.44,0.09,1
0.44,0.1,2
0.44,0.17,2
0.44,0.25,2
0.44,0.26,1
0.44,0.27,1
0.44,0.29,1
0.44,0.31,1
0.44,0.32,2
0.44,0.33,2
0.44,0.36,1
0.44,0.38,1
0.44,0.4,3
0.44,0.44,1
0.44,0.45,1
0.44,0.48,3
0.44,0.5,2
0.44,0.57,1
0.44,0.69,1
0.45,0,4
0.45,0.07,2
0.45,0.08,4
0.45,0.1,1
0.45,0.13,1
0.45,0.16,1
0.45,0.17,2
0.45,0.2,4
0.45,0.21,2
0.45,0.23,2
0.45,0.24,1
0.45,0.27,2
0.45,0.32,1
0.45,0.33,1
0.45,0.35,1
0.45,0.36,1
0.45,0.38,1
0.45,0.39,1
0.45,0.4,2
0.45,0.42,1
0.45,0.43,1
0.45,0.44,1
0.45,0.45,1
0.45,0.46,1
0.45,0.48,1
0.45,0.5,2
0.45,0.54,1
0.45,0.55,1
0.45,0.61,1
0.45,0.62,1
0.45,0.64,1
0.45,0.73,1
0.46,0,2
0.46,0.12,1
0.46,0.13,1
0.46,0.15,2
0.46,0.2,2
0.46,0.21,1
0.46,0.22,1
0.46,0.24,1
0.46,0.25,2
0.46,0.29,1
0.46,0.3,2
0.46,0.33,1
0.46,0.35,2
0.46,0.37,1
0.46,0.38,1
0.46,0.41,1
0.46,0.46,1
0.46,0.47,1
0.46,0.48,3
0.46,0.5,1
0.46,0.59,1
0.46,0.63,1
0.46,0.7,2
0.46,0.75,1
0.47,0,1
0.47,0.06,1
0.47,0.07,1
0.47,0.17,1
0.47,0.2,1
0.47,0.21,1
0.47,0.22,1
0.47,0.25,1
0.47,0.27,1
0.47,0.28,2
0.47,0.29,3
0.47,0.3,1
0.47,0.31,1
0.47,0.33,1
0.47,0.34,1
0.47,0.35,2
0.47,0.42,1
0.47,0.47,2
0.47,0.51,1
0.47,0.55,1
0.47,0.6,1
0.47,0.64,2
0.47,0.72,1
0.47,0.73,1
0.47,0.82,1
0.48,0.1,1
0.48,0.13,1
0.48,0.22,2
0.48,0.26,1
0.48,0.29,1
0.48,0.3,1
0.48,0.31,1
0.48,0.33,1
0.48,0.47,1
0.48,0.5,1
0.48,0.57,1
0.49,0.09,1
0.49,0.1,1
0.49,0.24,1
0.49,0.25,1
0.49,0.39,1
0.5,0,5
0.5,0.08,1
0.5,0.09,1
0.5,0.1,3
0.5,0.12,1
0.5,0.13,2
0.5,0.14,1
0.5,0.16,2
0.5,0.17,1
0.5,0.18,2
0.5,0.19,2
0.5,0.2,4
0.5,0.21,1
0.5,0.22,2
0.5,0.23,1
0.5,0.24,1
0.5,0.25,2
0.5,0.27,3
0.5,0.28,1
0.5,0.29,1
0.5,0.3,1
0.5,0.31,3
0.5,0.33,4
0.5,0.36,3
0.5,0.38,1
0.5,0.4,1
0.5,0.41,1
0.5,0.42,1
0.5,0.43,1
0.5,0.44,1
0.5,0.45,2
0.5,0.46,2
0.5,0.48,1
0.5,0.5,2
0.5,0.62,1
0.5,0.64,1
0.5,0.75,2
0.5,0.77,1
0.51,0.4,1
0.52,0,1
0.52,0.11,1
0.52,0.14,1
0.52,0.19,1
0.52,0.2,2
0.52,0.21,1
0.52,0.24,1
0.52,0.26,1
0.52,0.36,1
0.52,0.4,1
0.52,0.41,1
0.52,0.43,1
0.52,0.47,1
0.52,0.69,1
0.53,0.09,1
0.53,0.11,2
0.53,0.13,1
0.53,0.18,1
0.53,0.26,1
0.53,0.29,1
0.53,0.3,1
0.53,0.39,2
0.53,0.46,1
0.53,0.49,1
0.53,0.58,1
0.53,0.7,1
0.53,0.84,1
0.54,0,1
0.54,0.08,1
0.54,0.16,1
0.54,0.25,1
0.54,0.27,1
0.54,0.29,1
0.54,0.36,1
0.54,0.38,1
0.54,0.43,1
0.54,0.47,1
0.54,0.5,2
0.54,0.57,1
0.54,0.6,1
0.54,0.7,1
0.55,0,1
0.55,0.1,2
0.55,0.13,1
0.55,0.19,1
0.55,0.25,1
0.55,0.27,1
0.55,0.33,1
0.55,0.4,1
0.55,0.62,1
0.55,0.7,1
0.56,0.18,1
0.56,0.21,1
0.56,0.22,1
0.56,0.23,1
0.56,0.27,1
0.56,0.29,1
0.56,0.35,1
0.56,0.37,1
0.56,0.42,1
0.57,0.06,1
0.57,0.1,1
0.57,0.25,1
0.57,0.31,1
0.57,0.33,2
0.57,0.36,1
0.57,0.38,1
0.57,0.47,1
0.57,0.77,1
0.58,0,1
0.58,0.14,1
0.58,0.15,1
0.58,0.18,2
0.58,0.27,1
0.58,0.28,1
0.58,0.31,1
0.58,0.39,1
0.58,0.52,1
0.58,0.62,1
0.59,0.08,1
0.59,0.18,1
0.59,0.33,1
0.59,0.45,1
0.59,0.46,1
0.59,0.5,1
0.59,0.6,1
0.59,0.64,2
0.6,0.09,1
0.6,0.28,1
0.6,0.33,2
0.6,0.4,1
0.6,0.45,1
0.6,0.46,1
0.6,0.53,1
0.6,0.59,1
0.6,0.61,1
0.6,0.64,1
0.6,0.66,1
0.6,0.77,1
0.6,0.78,1
0.61,0.31,1
0.61,0.4,1
0.61,0.56,1
0.61,0.76,1
0.62,0.2,3
0.62,0.33,1
0.62,0.82,1
0.63,0.11,1
0.63,0.2,1
0.63,0.27,1
0.63,0.54,1
0.63,0.67,1
0.64,0,2
0.64,0.1,1
0.64,0.21,1
0.64,0.29,1
0.64,0.33,1
0.64,0.43,1
0.64,0.5,1
0.64,0.68,1
0.64,0.77,1
0.65,0.23,1
0.65,0.25,3
0.65,0.37,1
0.65,0.68,1
0.65,0.69,1
0.67,0.17,1
0.67,0.3,1
0.67,0.31,1
0.67,0.32,1
0.67,0.42,1
0.67,0.5,1
0.67,0.57,1
0.67,0.58,3
0.67,0.73,1
0.67,0.89,1
0.68,0.3,1
0.68,0.36,1
0.68,0.59,1
0.68,0.61,1
0.69,0.2,1
0.69,0.38,1
0.69,0.5,1
0.69,0.67,1
0.7,0,1
0.7,0.22,1
0.7,0.32,1
0.7,0.43,1
0.7,0.63,2
0.7,0.64,1
0.71,0.1,1
0.73,0.14,1
0.73,0.54,1
0.74,0.33,1
0.74,0.57,1
0.75,0.36,1
0.75,0.59,1
0.76,0.74,1
0.77,0.57,1
0.77,0.8,1
0.8,0.25,1
0.8,0.31,1
0.8,0.73,1
0.81,0.88,1
0.82,0.35,1
0.83,0.56,1
0.94,0.6,1
