repo_name,files,major_extension,major_files,major_avg_size,major_capped_avg_file,major_std_size,major_capped_std_file,major_extension_ratio
pszewczyk/systemd,962,.c,849,17706.29446,17491.13663,28314.43417,26524.63574,0.882536383
Keruspe/systemd,962,.c,849,17705.65842,17490.50059,28314.30239,26524.48989,0.882536383
yyu168/linux,28007,.c,26193,18551.16848,18088.80434,30146.69415,25337.45866,0.935230478
CMATHL/cml,87,.c,82,2992.731707,2992.731707,3802.334731,3802.334731,0.942528736
pexip/gst-plugins-good,631,.c,594,20460.12626,19554.00842,35015.62711,26971.85021,0.941362916
roelandjansen/UHSDR,1493,.c,1362,30852.27533,22535.64464,90453.22797,37501.46197,0.9122572
nhazekam/cctools,641,.c,339,25669.0649,10027.15929,296042.6814,17998.51371,0.528861154
cooperative-computing-lab/cctools,641,.c,339,25669.79351,10028.06195,296042.5137,17998.33665,0.528861154
charleszheng44/cctools,641,.c,339,25669.0649,10027.15929,296042.6814,17998.51371,0.528861154
df8oe/mchf-github,1494,.c,1363,30849.97872,22544.61335,90410.20122,37489.27804,0.91231593
raynorpat/cake,1004,.c,596,20279.81544,20093.85738,25739.27706,24131.49071,0.593625498
GrokImageCompression/aom,553,.c,341,28161.19355,23927.42229,69265.78591,34669.4131,0.616636528
systemd/systemd-stable,967,.c,853,17733.85111,17518.16413,28334.87511,26533.77162,0.882109617
tblume/systemd-testsuite-suse,970,.c,853,17739.04924,17523.33763,28339.47912,26538.57267,0.879381443
coreos/systemd,967,.c,853,17729.17468,17513.48769,28333.56806,26532.33778,0.882109617
falconindy/systemd,968,.c,853,17729.62368,17513.93669,28334.35819,26533.1852,0.881198347
openSUSE/systemd,970,.c,853,17739.04924,17523.33763,28339.47912,26538.57267,0.879381443
ssahani/systemd,970,.c,853,17737.64947,17521.93787,28337.49651,26536.44411,0.879381443
pwithnall/systemd,970,.c,853,17737.52755,17521.81594,28337.52251,26536.47089,0.879381443
filbranden/systemd,969,.c,853,17729.61782,17513.93083,28334.33859,26533.16422,0.880288958
Vudentz/zephyr,3375,.c,3157,17730.82959,17087.84384,33520.35328,26886.62987,0.935407407
sustrik/libdill,91,.c,86,7915.988372,7612.965116,22185.09396,19457.07929,0.945054945
01org/tpm2.0-tools,138,.c,86,9343.406977,9343.406977,6705.483844,6705.483844,0.623188406
martinezjavier/tpm2-tools,138,.c,86,9347.930233,9347.930233,6707.010348,6707.010348,0.623188406
fabiangreffrath/crispy-doom,349,.c,342,23284.07018,20677.90058,50464.83526,28157.93542,0.979942693
nikhilsinghmus/csound,592,.c,342,21468.17251,21468.17251,23512.02268,23512.02268,0.577702703
systemd/systemd,971,.c,854,17728.88173,17512.4918,28341.53574,26536.89182,0.879505664
systemd-mailing-devs/systemd-mailing-list,971,.c,854,17728.88173,17512.4918,28341.53574,26536.89182,0.879505664
kraj/systemd,971,.c,854,17728.88173,17512.4918,28341.53574,26536.89182,0.879505664
yuwata/systemd,971,.c,854,17728.88173,17512.4918,28341.53574,26536.89182,0.879505664
eworm-de/systemd,971,.c,854,17726.88759,17510.49766,28342.13993,26537.52081,0.879505664
piotrdrag/systemd,971,.c,854,17720.29859,17504.83958,28325.41686,26525.58821,0.879505664
l10n-tw/systemd,971,.c,854,17726.88759,17510.49766,28342.13993,26537.52081,0.879505664
littlevgl/lvgl,87,.c,87,115142.2759,44332.50575,262156.1265,60956.93878,1
explora26/zephyr,3377,.c,3159,17727.06015,17084.48243,33512.07584,26880.95601,0.935445662
acassen/keepalived,97,.c,88,20288.36364,20288.36364,23016.43052,23016.43052,0.907216495
bert/libdxf,91,.c,88,73187.06818,69547.22727,61696.44087,48525.37431,0.967032967
csound/csound,590,.c,345,21510.50435,21510.50435,23404.74724,23404.74724,0.584745763
ketchupok/csound,590,.c,345,21480.04928,21480.04928,23334.23843,23334.23843,0.584745763
DPDK/dpdk,1183,.c,1113,24297.52201,22992.90566,40547.68636,30186.11649,0.940828402
ferruhy/dpdk,1183,.c,1113,24294.28212,22989.75651,40545.43518,30183.74901,0.940828402
