name,fork,language,contributors_count,forks_count,network_count,open_issues_count,stargazers_count,subscribers_count,watchers_count
alphagov/finder-frontend,FALSE,Ruby,76,2,2,11,0,32,0
alphagov/notifications-admin,FALSE,Python,32,14,14,7,10,15,10
alphagov/rummager,FALSE,Ruby,118,11,11,15,40,88,40
alphagov/smart-answers,FALSE,Ruby,156,101,101,21,110,96,110
alphatwirl/alphatwirl,FALSE,Python,4,10,10,22,6,2,6
altair-viz/altair,FALSE,Python,65,317,317,174,3215,136,3215
Alveo/alveo-transcriber,FALSE,TypeScript,2,1,1,0,0,2,0
amandalund/openmc,TRUE,Python,31,0,163,0,1,1,1
amaozhao/algorithms,TRUE,Python,96,0,2497,0,0,1,0
AmericasWater/awash,FALSE,Julia,5,4,4,25,1,8,1
amient/affinity,FALSE,Scala,2,4,4,27,19,3,19
amithkanand/chef-bach,TRUE,Ruby,35,0,59,0,0,1,0
amjames/psi4,TRUE,C++,84,0,210,0,0,1,0
Amorymeltzer/homebrew-cask,TRUE,Ruby,410,0,6900,0,0,1,0
AmpersandTarski/ampersand,FALSE,Haskell,13,7,7,94,20,18,20
ampli/link-grammar,TRUE,C,16,0,75,1,0,1,0
ampproject/amphtml,FALSE,JavaScript,432,2774,2774,1511,12312,690,12312
amraboelela/swift,TRUE,C++,330,0,7355,0,0,1,0
AnalyticalGraphicsInc/cesium,FALSE,JavaScript,173,1609,1609,844,3905,385,3905
anaseto/boohu,FALSE,Go,4,4,4,4,85,7,85
anchela/jackrabbit-oak,TRUE,Java,22,1,275,0,0,1,0
anchore/anchore-engine,FALSE,Python,13,69,69,27,386,30,386
anconfuzedrock/tgstation,TRUE,DM,266,0,2027,0,0,0,0
andre77/XChange,TRUE,Java,251,0,1261,0,0,2,0
AndreasAakesson/IncludeOS,TRUE,C++,57,0,273,0,0,1,0
AndreaZain/dl-module,TRUE,JavaScript,29,0,37,0,0,0,0
andrew-polk/BloomDesktop,TRUE,C#,19,0,14,0,0,1,0
andrewrynhard/kubernetes,TRUE,Go,378,0,16475,0,0,1,0
andrewsykim/kubernetes,TRUE,Go,375,0,16475,1,0,0,0
andrey-kuznetsov/ignite,TRUE,Java,195,0,1147,2,0,1,0
andschwa/mesos,TRUE,C++,284,0,1557,0,0,0,0
andyli/homebrew-cask,TRUE,Ruby,411,0,6900,0,0,1,0
andyliuliming/azure-quickstart-templates,TRUE,Shell,355,0,6617,0,0,1,0
AndyPeterman/mrmc,TRUE,C++,257,0,62,0,0,1,0
andyxhadji/incubator-airflow,TRUE,Python,336,0,3810,0,0,1,0
angelicaochoa/cbioportal,TRUE,JavaScript,66,0,203,0,0,1,0
angular-indonesia/angular,TRUE,TypeScript,409,0,11561,0,0,2,0
angular/angular-devkit-core-builds,FALSE,,1,0,0,0,0,3,0
angular/compiler-builds,FALSE,JavaScript,27,7,7,0,6,9,6
angular/compiler-cli-builds,FALSE,,27,6,6,2,6,8,6
angular/core-builds,FALSE,JavaScript,27,9,9,0,17,9,17
angular/forms-builds,FALSE,JavaScript,27,8,8,2,12,5,12
angular/http-builds,FALSE,JavaScript,27,9,9,0,11,11,11
angular/platform-browser-builds,FALSE,JavaScript,27,7,7,0,4,9,4
angular/platform-browser-dynamic-builds,FALSE,JavaScript,27,5,5,0,4,8,4
angular/platform-server-builds,FALSE,JavaScript,27,5,5,0,7,10,7
angular/platform-webworker-builds,FALSE,JavaScript,20,6,6,0,5,5,5
angular/platform-webworker-dynamic-builds,FALSE,JavaScript,20,7,7,0,4,5,4
angular/router-builds,FALSE,JavaScript,27,14,14,0,25,9,25
angular/schematics-schematics-builds,FALSE,TypeScript,1,0,0,0,0,4,0
angular/schematics-update-builds,FALSE,,1,0,0,0,0,4,0
angular/upgrade-builds,FALSE,JavaScript,27,11,11,0,5,9,5
AnhNhan/discord-buddy-bot,FALSE,Ruby,2,1,1,19,1,1,1
animesh21/gsp-portal-new,FALSE,PHP,9,2,2,0,0,2,0
anishek/hive,TRUE,Java,175,0,2315,0,0,1,0
anlaneg/dpdk,FALSE,C,240,0,0,0,0,0,0
AnnikaH/IncludeOS,TRUE,C++,57,0,273,0,0,1,0
anom0ly/WoWAnalyzer,TRUE,JavaScript,100,0,266,2,0,1,0
AnoopAlias/XtendWeb,FALSE,Python,8,49,49,17,81,26,81
anpingli/openshift-ansible,TRUE,Python,318,0,1825,0,0,1,0
anselmobd/fo2,FALSE,Python,1,0,0,0,0,1,0
AnshulYADAV007/Lean,TRUE,C#,79,0,1215,1,0,1,0
AnSyn/ansyn,FALSE,TypeScript,15,4,4,196,23,4,23
ant-design/ant-design,FALSE,TypeScript,405,14053,14053,334,41745,1451,41745
AntennaPod/AntennaPod,FALSE,Java,95,685,685,387,2177,156,2177
Antergos/Cnchi,FALSE,Python,29,99,99,185,296,33,296
antest1/kcanotify,FALSE,Java,6,16,16,5,106,19,106
anthgur/servo,TRUE,Rust,451,0,2047,0,0,1,0
anthonybrown/reaction,TRUE,JavaScript,123,0,1559,0,0,1,0
antihax/evedata,FALSE,Go,2,5,5,6,16,4,16
antoniomezzacapo/qiskit-tutorial,TRUE,Jupyter Notebook,50,0,329,0,0,0,0
AntonyCorbett/OnlyT,FALSE,C#,1,22,22,9,49,24,49
anttiylitokola/mbed-os-1,TRUE,C,347,0,1759,0,0,0,0
AntumDeluge/arianne-stendhal,TRUE,Java,11,1,74,0,1,1,1
Anveio/mturk-engine,FALSE,TypeScript,1,8,8,18,35,11,35
AoEiuV020/PaNovel,FALSE,Kotlin,1,10,10,0,24,1,24
aonotas/chainer,TRUE,Python,160,0,1190,0,0,1,0
AOSC-Dev/aosc-os-abbs,FALSE,Roff,28,18,18,130,35,25,35
aozima/rt-thread,TRUE,C,126,2,1569,0,0,0,0
apache/jackrabbit-oak,FALSE,Java,22,275,275,76,260,57,260
apache/servicemix-bundles,FALSE,Java,34,63,63,0,30,17,30
apache/spark,FALSE,Scala,337,17972,17972,454,20377,2122,20377
apereo/cas,FALSE,Java,200,2543,2543,3,5423,587,5423
apeyser/nest-simulator,TRUE,C++,70,0,185,0,0,1,0
apigee/apigee-edge-drupal,FALSE,PHP,8,13,13,9,7,12,7
apmechev/GRID_LRT,FALSE,Python,3,0,0,0,1,9,1
apollographql/apollo-client,FALSE,TypeScript,377,1106,1106,242,9870,270,9870
apple/swift,FALSE,C++,403,7355,7355,445,46449,2604,46449
apple/swift-package-manager,FALSE,Swift,217,786,786,23,6653,390,6653
appscode/helm,TRUE,Go,371,0,3200,1,4,14,4
appsembler/edx-platform,TRUE,Python,233,17,2293,7,2,14,2
AppStateESS/stories,FALSE,PHP,2,4,4,13,0,3,0
Apretaste/Core,FALSE,PHP,7,4,4,0,7,9,7
apsaltis/nifi,TRUE,Java,215,0,1152,0,0,1,0
Aptoide/aptoide-client-v8,FALSE,Java,19,29,29,7,75,25,75
apurtell/hbase,FALSE,Java,211,0,0,1,0,1,0
arasu01/awesome-ios,TRUE,Swift,409,0,4899,0,0,1,0
arbrandes/edx-platform,TRUE,Python,237,0,2293,0,0,1,0
architecture-building-systems/CityEnergyAnalyst,FALSE,Python,16,13,13,160,38,13,38
ArchShaman/Zero-K,TRUE,Lua,58,0,92,0,0,1,0
ArchStrike/ArchStrike,FALSE,Shell,18,70,70,4,286,35,286
arcyfelix/Courses,FALSE,Jupyter Notebook,1,14,14,0,14,0,14
ArdaFu/rt-thread,TRUE,C,152,0,1569,0,0,0,0
aren55555/homebrew-core,TRUE,Ruby,423,0,5673,0,0,1,0
arescentral/antares,FALSE,C++,5,8,8,62,39,9,39
Argalep/ServUO,TRUE,C#,50,0,269,0,0,1,0
arhimondr/presto,TRUE,Java,258,0,2920,1,0,0,0
arianne/stendhal,FALSE,Java,12,74,74,37,84,24,84
arichelle/cobratoolbox,TRUE,Matlab,71,0,176,0,0,1,0
arlac77/config-expander,FALSE,JavaScript,2,0,0,1,0,1,0
armink/rt-thread,TRUE,C,154,2,1569,0,1,4,1
arminoza/arminoza.github.io,TRUE,HTML,4,0,339,0,0,0,0
ARMmbed/mbed-os,FALSE,C,346,1759,1759,470,2220,303,2220
ArnaudBuchholz/gpf-js,FALSE,JavaScript,1,0,0,31,6,3,6
arnost-starosta/midpoint,TRUE,Java,38,0,130,0,0,1,0
arrabito/DIRAC,TRUE,Python,64,0,125,0,1,1,1
articuluxe/harmsway,FALSE,Emacs Lisp,1,0,0,0,1,1,1
Artiom-M/xpiks,TRUE,C++,6,0,11,0,0,1,0
artokin/mbed-os,TRUE,C,346,0,1759,0,0,1,0
arusakov/DefinitelyTyped,TRUE,TypeScript,397,0,16208,0,0,1,0
Arvtesh/UnityFx.Async,FALSE,C#,2,4,4,0,58,10,58
asajeffrey/servo,TRUE,Rust,449,0,2047,0,0,1,0
asanchezr/hets,TRUE,C#,17,0,14,0,0,0,0
AscEmu/AscEmu,FALSE,C++,18,41,41,112,45,26,45
ascent12/wlroots,TRUE,C,83,0,139,0,1,1,1
aschwaighofer/swift,TRUE,C++,403,0,7355,0,0,1,0
ascsi/FHKlubdatabase,FALSE,JavaScript,3,0,0,1,1,1,1
asmeurer/staged-recipes,TRUE,Python,393,0,1110,0,0,1,0
aspectran/aspectran,FALSE,Java,3,0,0,3,5,2,5
aspiers/automation,TRUE,Shell,93,0,125,0,0,1,0
aspnetboilerplate/aspnetboilerplate,FALSE,C#,121,2446,2446,145,6111,817,6111
Astrak/three.js,TRUE,JavaScript,370,0,18163,0,0,1,0
ateleshev/kubernetes,TRUE,Go,378,0,16475,0,0,1,0
aterai/java-swing-tips,FALSE,Java,2,58,58,0,129,22,129
atgeirr/opm-common,TRUE,C++,41,0,52,0,0,1,0
atiqueahmedziad/addons-server,TRUE,Python,296,0,360,0,0,1,0
atom/github,FALSE,JavaScript,45,157,157,363,631,47,631
Atoms/kubespray,TRUE,Python,390,0,2085,0,0,0,0
AtsushiSakai/PythonRobotics,FALSE,Jupyter Notebook,24,1121,1121,3,4336,241,4336
atumanov/ray,TRUE,Python,111,0,738,0,0,4,0
atxwebs/lxd,TRUE,Go,139,0,487,0,0,0,0
AubrCool/rt-thread,TRUE,C,159,1,1569,0,1,0,1
audiohacked/obs-studio,TRUE,C,232,0,2530,0,0,0,0
audiokit/AudioKit,FALSE,C++,98,952,952,9,6248,293,6248
auduny/home-assistant,TRUE,Python,412,0,6031,0,1,1,1
austinzheng/swift,TRUE,C++,401,1,7355,0,0,0,0
AutomatedLab/AutomatedLab,FALSE,PowerShell,27,117,117,51,535,71,535
Automattic/wp-calypso,FALSE,JavaScript,322,1533,1533,1819,10777,543,10777
Automattic/wp-e2e-tests,FALSE,JavaScript,64,21,21,42,107,114,107
autoserver-org/autoserver,FALSE,JavaScript,1,0,0,0,10,3,10
avadacatavra/servo,TRUE,Rust,451,1,2047,0,0,0,0
AvaloniaUI/Avalonia,FALSE,C#,96,521,521,315,5752,399,5752
AvengerMoJo/DeepSea,TRUE,Python,32,0,63,0,0,1,0
aveshagarwal/kubernetes,TRUE,Go,378,0,16475,0,0,1,0
aveshagarwal/openshift-ansible,TRUE,Python,367,0,1825,0,0,1,0
aviarypl/mozilla-l10n-addons-server,TRUE,Python,298,0,360,0,0,1,0
avocado-framework/avocado-vt,FALSE,Python,137,149,149,139,35,34,35
avranju/kubernetes,TRUE,Go,378,0,16475,0,0,0,0
AVSystem/scala-commons,FALSE,Scala,13,15,15,7,62,20,62
AvyanConsultingCorp/azure-quickstart-templates,TRUE,Shell,356,0,6617,0,0,3,0
aws/aws-sdk-php,FALSE,PHP,105,839,839,30,3696,262,3696
awsdocs/aws-doc-sdk-examples,FALSE,Java,83,731,731,40,1068,88,1068
axkr/symja_android_library,FALSE,Java,6,24,24,31,70,9,70
Azarien/chocolate-doom,TRUE,C,41,0,163,0,1,2,1
